serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
4840;Метеорологическая станция;2;ФГБУ Иркутское УГМС;СОЛНЕЧНАЯ;0;30537;5400831;;;54.03;108.26;;138;Отсутствует;3;0;0;0;0;0;0;0;0;1;;9999-12-31 00:00:00
5958;Пристанционный гидрологический пост;1;ФГБУ Иркутское УГМС;СОЛНЕЧНАЯ (ОГП ПРИ СОЛНЕЧНАЯ М) - ОЗ.БАЙКАЛ;0;30537;5400831;08906;;54.03;108.27;;138;Отсутствует;0;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
350;Агрометеорологический пост;0;ФГБУ Центральное УГМС;СОЛНЕЧНОГОРСК;0;58910;5613036260;;;56.21;36.43;;150;Отсутствует;1;0;0;0;0;3;0;0;0;0;;9999-12-31 00:00:00
10121;Автоматическая гидрометеорол. необслуживаемая наземная станция;0;ФГБУ Центральное УГМС;СОЛНЕЧНОГОРСК;;27413;5623690;;;56.22;36.92;;;Отсутствует;3;0;0;0;0;0;0;0;0;0;;
342;Озерный гидрометеорологический пост;2;ФГБУ Центральное УГМС;СОЛНЕЧНОГОРСК - ОЗ.СЕНЕЖСКОЕ;0;75960;5611037000;75960;;56.18;37.00;;150;Отсутствует;1;0;0;2;0;0;0;0;0;0;;9999-12-31 00:00:00
8791;Гидрологический пост;1;ФГБУ Крымское УГМС;СОЛНЕЧНОГОРСКОЕ - Р.УЛУ-УЗЕНЬ;0;81677;;81677;;44.75;34.53333333333333;;182;Отсутствует;0;0;0;1;0;0;1;0;0;1;;
4480;Гидрологический пост;1;ФГБУ Дальневосточное УГМС;СОЛНЕЧНЫЙ - Р.СИЛИНКА;0;05420;;05420;;50.73;136.65;;127;Отсутствует;0;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
3017;Агрометеорологический пост;0;ФГБУ Обь-Иртышское УГМС;Солобоево;0;65403;5627065230;;65403;56.450002777777776;65.38333333333334;;172;Тюменский ЦГМС;1;0;0;0;0;3;0;0;0;0;;9999-12-31 00:00:00
735;Оперативная группа-группа,проводящая метеонаблюдения при обслуживании авиации;0;ФГБУ Авиаметтелеком Росгидромета;СОЛОВКИ;0;;6501035420;;;65.02;35.70;;129;ФГБУ Северный филиал Авиаметтелекома  Росгидромета;1;0;0;0;0;0;0;0;0;0;;9999-12-31 00:00:00
481;Морская гидрометеорологическая береговая станция;2;ФГБУ Северное УГМС;СОЛОВКИ - МОРЕ БЕЛОЕ;0;22429;6503570;87027;;65.03138888888888;35.69583333333333;;129;Отсутствует;4;0;0;0;4;0;0;0;0;1;;9999-12-31 00:00:00
